ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
39,42,4.70171,-74.027,PCA,g/s,1.25835e-06,9.07362861111e-07,7.53404111111e-07,6.41891194444e-07,5.37167888889e-07,1.23859375e-06,2.50948547222e-06,3.27238247222e-06,3.72538683333e-06,3.73952875e-06,3.62918397222e-06,3.55576191667e-06,3.46791944444e-06,3.44004147222e-06,3.61869608333e-06,3.65109769444e-06,3.53866338889e-06,3.50957872222e-06,3.38384125e-06,3.30625116667e-06,3.22985211111e-06,2.69889797222e-06,2.45293805556e-06,1.89630011111e-06,1.25835e-06
34,34,4.656898,-74.098946,PNH4,g/s,5.35623333333e-11,3.7837e-11,3.31396666667e-11,3.02415833333e-11,4.70474166667e-11,1.24459666667e-10,2.00010166667e-10,2.3922575e-10,2.46930666667e-10,2.35787e-10,2.38987916667e-10,2.49904333333e-10,2.53681583333e-10,2.51259166667e-10,2.5886175e-10,2.341295e-10,2.24469666667e-10,2.22272916667e-10,2.095035e-10,1.95801083333e-10,1.79900666667e-10,1.49257166667e-10,1.53793083333e-10,9.63099166667e-11,5.35623333333e-11
39,42,4.70171,-74.027,PEC,g/s,3.2842935e-06,2.3682170675e-06,1.96638473e-06,1.6753360175e-06,1.40200819e-06,3.2327296875e-06,6.5497570825e-06,8.5409182525e-06,9.723259635e-06,9.7601700375e-06,9.4721701675e-06,9.2805386025e-06,9.05126975e-06,8.9785082425e-06,9.4447967775e-06,9.5293649825e-06,9.235911445e-06,9.160000465e-06,8.8318256625e-06,8.629315545e-06,8.42991401e-06,7.0441237075e-06,6.402168325e-06,4.94934329e-06,3.2842935e-06
39,42,4.70171,-74.027,PAL,g/s,1.560354e-07,1.12512994778e-07,9.34221097778e-08,7.95945081111e-08,6.66088182222e-08,1.53585625e-07,3.11176198556e-07,4.05775426556e-07,4.61947967333e-07,4.63701565e-07,4.50018812556e-07,4.40914477667e-07,4.30022011111e-07,4.26565142556e-07,4.48718314333e-07,4.52736114111e-07,4.38794260222e-07,4.35187761556e-07,4.19596315e-07,4.09975144667e-07,4.00501661778e-07,3.34663348556e-07,3.04164318889e-07,2.35141213778e-07,1.560354e-07
39,42,4.70171,-74.027,PH2O,g/s,1.0091967e-06,7.27705014611e-07,6.04230097111e-07,5.14796737944e-07,4.30808646889e-07,9.933521875e-07,2.01260734872e-06,2.62445074272e-06,2.98776024033e-06,2.9991020575e-06,2.91060554572e-06,2.85172105717e-06,2.78127139444e-06,2.75891326072e-06,2.90219425883e-06,2.92818035094e-06,2.83800803789e-06,2.81468213522e-06,2.7138406825e-06,2.65161343567e-06,2.59034139311e-06,2.16451617372e-06,1.96725632056e-06,1.52083268911e-06,1.0091967e-06
34,34,4.656898,-74.098946,PNO3,g/s,2.85665777778e-09,2.01797333333e-09,1.76744888889e-09,1.61288444444e-09,2.50919555556e-09,6.63784888889e-09,1.06672088889e-08,1.27587066667e-08,1.31696355556e-08,1.25753066667e-08,1.27460222222e-08,1.33282311111e-08,1.35296844444e-08,1.34004888889e-08,1.380596e-08,1.24869066667e-08,1.19717155556e-08,1.18545555556e-08,1.117352e-08,1.04427244444e-08,9.59470222222e-09,7.96038222222e-09,8.20229777778e-09,5.13652888889e-09,2.85665777778e-09
35,35,4.665855,-74.089951,POC,g/s,8.85989127778e-07,6.65684152778e-07,6.36608686111e-07,5.81393713889e-07,7.44526805556e-07,1.50210196389e-06,2.47303333889e-06,3.29002292222e-06,3.91095997222e-06,3.63281882222e-06,3.70471123056e-06,3.63325900833e-06,3.33039937222e-06,3.47080655556e-06,3.54355793611e-06,3.38945296944e-06,3.09148263889e-06,3.07283907778e-06,3.10182151389e-06,2.98377316944e-06,2.70188434444e-06,2.23002682778e-06,2.20751373056e-06,1.41549081389e-06,8.85989127778e-07
39,42,4.70171,-74.027,PCL,g/s,1.862358e-07,1.34289703444e-07,1.11503808444e-07,9.49998967778e-08,7.95008475556e-08,1.83311875e-07,3.71403849889e-07,4.84312605889e-07,5.51357251333e-07,5.53450255e-07,5.37119227889e-07,5.26252763667e-07,5.13252077778e-07,5.09126137889e-07,5.35567020333e-07,5.40362458778e-07,5.23722181556e-07,5.19417650889e-07,5.00808505e-07,4.89325172667e-07,4.78018112444e-07,3.99436899889e-07,3.63034832222e-07,2.80652416444e-07,1.862358e-07
39,42,4.70171,-74.027,PMC,g/s,0.00088087265,0.000635186016667,0.000527406636111,0.000449335494444,0.000375993458333,0.000866947919444,0.00175662273056,0.00229068834722,0.00260775543333,0.00261766652778,0.00254042878333,0.002489063875,0.00242759723889,0.00240809398333,0.002533112775,0.00255580648611,0.00247707620556,0.00245671048333,0.00236866740556,0.00231438657778,0.00226091517222,0.001889234275,0.00171707548889,0.00132742133333,0.00088087265
39,41,4.70171,-74.036,PNO3,g/s,2.06368582222e-07,1.4880692e-07,1.235578e-07,1.05269755556e-07,8.80951733333e-08,2.03128577778e-07,4.11553986667e-07,5.36668626667e-07,6.10961004444e-07,6.13280293333e-07,5.95183813333e-07,5.83142648889e-07,5.68736528889e-07,5.64164586667e-07,5.93463813333e-07,5.98777657778e-07,5.80338506667e-07,5.75568644444e-07,5.54947768889e-07,5.4222304e-07,5.29693653333e-07,4.42617528889e-07,4.02280248889e-07,3.10992e-07,2.06368582222e-07
